replication,seed,mechanismID,mechanismLabel,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
16,16,M4_regulation,M4 + Regulation,coordinated,Coordinated,119.075854066468,238.209238637078,1606.75443004238,234,4722,1672,3050
16,16,M5_timing,M5 + Policy timing,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
16,16,M5_timing,M5 + Policy timing,early_mover,Early Mover,128.909792886267,236.298008719363,1566.49679295721,276,5341,1804,3537
16,16,M5_timing,M5 + Policy timing,sequential,Sequential,127.529707746288,230.998930928703,1506.19177362894,290,5398,1852,3546
16,16,M5_timing,M5 + Policy timing,coordinated,Coordinated,119.075854066468,238.209238637078,1606.75443004238,234,4722,1672,3050
16,16,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,129.515463849462,223.8162877999,1474.9282603893,301,5492,1800,3692
17,17,M0_minimal,M0 Minimal adaptation,baseline,Baseline,98.3222301943817,458.060219149668,3031.3620452977,0,2833,1318,1515
17,17,M1_choice,M1 + Softmax choice,baseline,Baseline,91.6743021469511,458.060219149668,3031.36204529771,0,3731,1236,2495
17,17,M2_frictions,M2 + Switching costs,baseline,Baseline,99.821239697371,458.060219149668,3031.36204529771,0,2606,964,1642
17,17,M3_recovery,M3 + Recovery,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,M4_regulation,M4 + Regulation,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,M4_regulation,M4 + Regulation,coordinated,Coordinated,116.235265627053,230.416154975871,1643.84512418143,272,4740,1756,2984
17,17,M5_timing,M5 + Policy timing,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,M5_timing,M5 + Policy timing,early_mover,Early Mover,123.604495311814,234.566947493912,1579.22217680913,271,4984,1670,3314
17,17,M5_timing,M5 + Policy timing,sequential,Sequential,123.311443820884,231.199113805173,1521.32863353334,283,5018,1753,3265
17,17,M5_timing,M5 + Policy timing,coordinated,Coordinated,116.235265627053,230.416154975871,1643.84512418143,272,4740,1756,2984
17,17,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,126.552064100201,226.213532455743,1510.54218270419,289,5094,1727,3367
18,18,M0_minimal,M0 Minimal adaptation,baseline,Baseline,98.529844056497,438.973307091865,3007.06359707531,0,3211,1480,1731
18,18,M1_choice,M1 + Softmax choice,baseline,Baseline,93.7266344724736,438.973307091865,3007.06359707531,0,3702,1235,2467
18,18,M2_frictions,M2 + Switching costs,baseline,Baseline,99.8740815555329,438.973307091865,3007.06359707531,0,2698,1082,1616
18,18,M3_recovery,M3 + Recovery,baseline,Baseline,126.829570709425,314.750475590682,2231.01294029534,140,3103,974,2129
18,18,M4_regulation,M4 + Regulation,baseline,Baseline,126.829570709425,314.750475590682,2231.01294029534,140,3103,974,2129
18,18,M4_regulation,M4 + Regulation,coordinated,Coordinated,114.590741220488,235.173540922145,1642.40411546336,245,4790,1688,3102
18,18,M5_timing,M5 + Policy timing,baseline,Baseline,126.829570709425,314.750475590682,2231.01294029534,140,3103,974,2129
18,18,M5_timing,M5 + Policy timing,early_mover,Early Mover,116.216739658461,258.331119036707,1705.10907754161,256,4839,1676,3163
18,18,M5_timing,M5 + Policy timing,sequential,Sequential,112.048191251319,255.88387038255,1690.20748702614,241,4570,1723,2847
18,18,M5_timing,M5 + Policy timing,coordinated,Coordinated,114.590741220488,235.173540922145,1642.40411546336,245,4790,1688,3102
18,18,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,113.68746046848,243.155618968565,1637.56955657983,240,4700,1706,2994
19,19,M0_minimal,M0 Minimal adaptation,baseline,Baseline,96.2320238128445,436.946491805441,2991.01925611715,0,3074,1285,1789
19,19,M1_choice,M1 + Softmax choice,baseline,Baseline,94.2677997140223,436.946491805441,2991.01925611715,0,3643,1134,2509
19,19,M2_frictions,M2 + Switching costs,baseline,Baseline,101.787634963665,436.946491805441,2991.01925611715,0,2528,976,1552
19,19,M3_recovery,M3 + Recovery,baseline,Baseline,127.048447747615,333.092707251775,2261.35554154674,119,2814,1049,1765
19,19,M4_regulation,M4 + Regulation,baseline,Baseline,127.048447747615,333.092707251775,2261.35554154674,119,2814,1049,1765
19,19,M4_regulation,M4 + Regulation,coordinated,Coordinated,117.891140658324,225.112486661979,1723.40939142728,238,4492,1624,2868
19,19,M5_timing,M5 + Policy timing,baseline,Baseline,127.048447747615,333.092707251775,2261.35554154674,119,2814,1049,1765
19,19,M5_timing,M5 + Policy timing,early_mover,Early Mover,123.975411012696,226.098107800203,1695.54997707378,256,4753,1551,3202
19,19,M5_timing,M5 + Policy timing,sequential,Sequential,119.61259046548,225.265307767247,1666.64432932339,246,4765,1554,3211
19,19,M5_timing,M5 + Policy timing,coordinated,Coordinated,117.891140658324,225.112486661979,1723.40939142728,238,4492,1624,2868
19,19,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,120.606786587826,221.358023582127,1664.41136601536,257,4796,1564,3232
20,20,M0_minimal,M0 Minimal adaptation,baseline,Baseline,98.2024845671483,437.241925468984,2947.11538026065,0,3165,1337,1828
20,20,M1_choice,M1 + Softmax choice,baseline,Baseline,91.6677865699571,437.241925468984,2947.11538026065,0,3738,1037,2701
20,20,M2_frictions,M2 + Switching costs,baseline,Baseline,99.5907120602624,437.241925468984,2947.11538026065,0,2397,907,1490
20,20,M3_recovery,M3 + Recovery,baseline,Baseline,126.861910201648,310.340888496358,2262.77821406191,131,2821,1054,1767
