replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
32,32,delayed_coordination,Delayed Coordination,119.66871798246,247.119968787285,230.992691352333,-16.127277434952,1636.88268106409,4726
33,33,baseline,Baseline,127.372980772755,354.232042580359,372.407132327863,18.175089747504,2449.83114789368,2681
33,33,early_mover,Early Mover,117.466796358437,249.440685023684,281.494739340523,32.0540543168383,1819.07121840606,4605
33,33,sequential,Sequential,115.772427796583,240.855900047394,271.098204637299,30.2423045899059,1758.87184495463,4634
33,33,coordinated,Coordinated,115.107463749463,244.335280405944,271.597714424538,27.2624340185939,1757.28541166662,4658
33,33,delayed_coordination,Delayed Coordination,114.26123821491,244.466660996108,279.537015885808,35.0703548896998,1783.69443361322,4454
34,34,baseline,Baseline,128.455000813718,330.466733310318,321.791013948273,-8.6757193620449,2239.28357370343,3067
34,34,early_mover,Early Mover,127.702953115004,245.41657940189,224.512708034435,-20.9038713674555,1613.63588159953,4823
34,34,sequential,Sequential,125.348915564008,235.535462818092,219.220335548221,-16.3151272698704,1563.81529214667,4898
34,34,coordinated,Coordinated,124.445034736034,244.307617481079,224.073180452789,-20.2344370282894,1605.21640821139,4810
34,34,delayed_coordination,Delayed Coordination,123.876875127924,240.110557864279,221.483047712001,-18.6275101522783,1584.37400583709,4896
35,35,baseline,Baseline,125.778059174611,331.19863295218,321.703726147989,-9.4949068041912,2198.57065018691,3258
35,35,early_mover,Early Mover,116.852545847133,247.373084256036,231.907229411475,-15.4658548445604,1667.33923922085,4786
35,35,sequential,Sequential,114.969615005023,244.904687210538,226.269832483696,-18.634854726842,1636.86643504858,4887
35,35,coordinated,Coordinated,115.273987075991,235.85345618497,205.629587305469,-30.2238688795006,1583.93143346109,5183
35,35,delayed_coordination,Delayed Coordination,112.969302054186,247.891452635697,227.527199132132,-20.364253503565,1655.93371890948,4859
36,36,baseline,Baseline,125.587742021243,334.854941062971,338.000846214818,3.14590515184761,2241.76825955997,3092
36,36,early_mover,Early Mover,116.149127061776,247.653239194459,253.330979545424,5.67774035096443,1688.64418549948,4663
36,36,sequential,Sequential,113.241596548493,242.128970958874,248.0665655624,5.9375946035255,1672.3299230356,4621
36,36,coordinated,Coordinated,112.120418190125,253.932781856826,246.402931462451,-7.52985039437547,1711.6904155622,4663
36,36,delayed_coordination,Delayed Coordination,114.015199325478,237.397255381292,250.773698105426,13.3764427241347,1678.30897623706,4601
37,37,baseline,Baseline,130.449952992622,330.123918865006,316.51603103021,-13.6078878347967,2271.67400303849,2899
37,37,early_mover,Early Mover,125.149780003311,239.847440683677,257.251509613571,17.4040689298936,1677.2646083208,4794
37,37,sequential,Sequential,119.624877440419,223.176107287005,248.516669693453,25.3405624064487,1673.73824834949,4581
37,37,coordinated,Coordinated,124.647132823047,213.886674405249,235.972055823027,22.085381417778,1587.26855844414,5084
37,37,delayed_coordination,Delayed Coordination,122.611505597429,228.341937220301,250.092898809818,21.7509615895163,1652.27796046814,4760
38,38,baseline,Baseline,127.354460810758,361.863195126141,351.700115064789,-10.1630800613515,2365.44407226038,2493
38,38,early_mover,Early Mover,126.067616532097,258.094230324042,243.646829948703,-14.447400375339,1660.61852658351,4774
38,38,sequential,Sequential,124.362939769209,247.015895795417,239.534483181736,-7.48141261368107,1593.59531960048,4532
38,38,coordinated,Coordinated,124.525726603305,252.629915747943,250.941998051533,-1.68791769641018,1632.27122754666,4512
38,38,delayed_coordination,Delayed Coordination,124.403963952089,251.509056448227,240.570427782241,-10.9386286659861,1607.95848220258,4601
39,39,baseline,Baseline,127.717956392784,321.380713298465,324.453083333993,3.07237003552797,2224.40644689259,3294
39,39,early_mover,Early Mover,124.182376400706,198.624724137838,212.593225503882,13.9685013660441,1533.76954729993,5569
39,39,sequential,Sequential,122.451032282542,192.206132692016,209.678173256447,17.4720405644311,1494.35823023189,5520
39,39,coordinated,Coordinated,118.867560361249,206.029557572425,214.73632001981,8.70676244738553,1527.95504189075,5348
39,39,delayed_coordination,Delayed Coordination,122.523555302361,188.533903235838,204.798961009992,16.2650577741538,1495.97409772245,5509
40,40,baseline,Baseline,127.942406683784,328.919699526771,347.667106680861,18.7474071540898,2369.19395657075,2675
40,40,early_mover,Early Mover,127.396111953309,225.753670187748,247.430263606608,21.6765934188605,1608.50097404808,4795
40,40,sequential,Sequential,122.142603937297,223.037297390459,248.446123037352,25.4088256468925,1619.24471458536,4753
40,40,coordinated,Coordinated,120.559023816174,235.893210645711,257.538937316462,21.6457266707517,1656.28540395324,4783
40,40,delayed_coordination,Delayed Coordination,122.8514857642,223.405910243575,251.206304895795,27.8003946522201,1598.0343645603,4829
41,41,baseline,Baseline,129.298326696879,344.430226328921,333.773824909873,-10.6564014190474,2329.46782543302,2746
41,41,early_mover,Early Mover,129.202228352317,259.702479508802,249.73718636865,-9.96529314015146,1606.28308911449,5047
41,41,sequential,Sequential,126.15143749345,259.14313035967,261.743922784026,2.60079242435597,1626.40496088589,4909
41,41,coordinated,Coordinated,124.166751886429,259.623570406531,272.416472400939,12.7929019944082,1680.25452590371,4764
41,41,delayed_coordination,Delayed Coordination,125.65271650346,258.57686595358,254.061694084084,-4.51517186949559,1610.96646320206,4939
42,42,baseline,Baseline,129.01617088731,340.068294606446,347.353588804846,7.28529419840009,2289.11335323437,2871
42,42,early_mover,Early Mover,131.044388117767,248.528260355926,247.317240459996,-1.21101989592947,1595.36704312235,5303
42,42,sequential,Sequential,127.879967594918,243.366355798483,237.044094840277,-6.32226095820644,1573.91306066916,5268
42,42,coordinated,Coordinated,127.502171174613,249.447418921059,242.585437595045,-6.86198132601467,1622.87282462919,5179
42,42,delayed_coordination,Delayed Coordination,129.726214881408,229.014433113698,236.170257644502,7.15582453080404,1544.61252871827,5321
43,43,baseline,Baseline,125.702824557686,321.412539660739,328.877785545465,7.46524588472585,2278.13675637786,3136
43,43,early_mover,Early Mover,119.811126789114,239.806696461249,235.174010218396,-4.63268624285331,1624.75970605691,5091
43,43,sequential,Sequential,120.279525427139,216.711247778695,224.055427147854,7.34417936915867,1547.10867567207,5278
43,43,coordinated,Coordinated,117.247021707444,228.243809118746,228.731260522385,0.487451403639085,1618.73062419814,5167
43,43,delayed_coordination,Delayed Coordination,121.652743640495,220.441203173191,222.018751109316,1.57754793612455,1535.7325772483,5286
