replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
12,12,2,coordinated,Coordinated,126.115502133663,211.726947619274,1518.61628124057,295,5121,1136,3985
12,12,2,delayed_coordination,Delayed Coordination,118.989150534275,244.530945259395,1617.38856960282,258,4626,973,3653
12,12,4,baseline,Baseline,124.307217503296,331.763044993455,2367.7325189163,133,2709,545,2164
12,12,4,early_mover,Early Mover,117.251908989849,235.844539155758,1697.78157869462,253,4609,1082,3527
12,12,4,sequential,Sequential,117.814575683454,226.244614942255,1600.74997558391,264,4646,1135,3511
12,12,4,coordinated,Coordinated,119.328826163881,233.360795434952,1602.78675655517,292,4730,1154,3576
12,12,4,delayed_coordination,Delayed Coordination,118.900851897125,225.895532715774,1585.28815437803,268,4674,1119,3555
12,12,8,baseline,Baseline,121.651872139583,339.839430943937,2419.27857998816,112,2457,535,1922
12,12,8,early_mover,Early Mover,109.886166819255,265.770260673328,1843.88644307943,231,3857,1112,2745
12,12,8,sequential,Sequential,103.543399937098,264.698532360095,1852.05998366516,213,3734,1122,2612
12,12,8,coordinated,Coordinated,106.007929642062,271.206807090836,1840.36663885703,222,3807,1151,2656
12,12,8,delayed_coordination,Delayed Coordination,103.10970723677,274.16646137879,1892.979027394,190,3685,1108,2577
13,13,2,baseline,Baseline,122.575506990828,397.415424759169,2537.70434278234,109,2177,483,1694
13,13,2,early_mover,Early Mover,129.835737644134,222.699806376874,1526.32431750531,302,5042,1010,4032
13,13,2,sequential,Sequential,131.232008144144,222.266081720145,1392.56847774024,318,5153,1102,4051
13,13,2,coordinated,Coordinated,127.627887609256,236.387584983857,1486.64750363427,307,5094,1200,3894
13,13,2,delayed_coordination,Delayed Coordination,132.373287529454,216.291632585597,1380.62077279855,320,5183,1095,4088
13,13,4,baseline,Baseline,124.243023609303,377.687743761073,2454.8957992683,119,2364,514,1850
13,13,4,early_mover,Early Mover,120.847734091098,249.186874198747,1667.53457003904,280,4565,1212,3353
13,13,4,sequential,Sequential,120.20140661086,239.166262779787,1569.60241921477,309,4669,1318,3351
13,13,4,coordinated,Coordinated,116.783487151579,252.421879739488,1625.92295867292,261,4315,1281,3034
13,13,4,delayed_coordination,Delayed Coordination,119.737545883678,242.049734340509,1606.19914645275,283,4580,1297,3283
13,13,8,baseline,Baseline,120.363604128115,392.482938026313,2574.28077898759,89,1926,454,1472
13,13,8,early_mover,Early Mover,110.591842160026,272.667383255567,1863.06878673355,233,3779,1168,2611
13,13,8,sequential,Sequential,106.114495407128,274.674641108524,1826.50667647171,215,3671,1173,2498
13,13,8,coordinated,Coordinated,105.082476692952,274.769925098641,1862.19749213424,214,3526,1112,2414
13,13,8,delayed_coordination,Delayed Coordination,105.607021147818,271.420208767926,1854.02431118172,230,3656,1121,2535
14,14,2,baseline,Baseline,125.615609524137,351.044300149298,2499.81068527495,98,1892,514,1378
14,14,2,early_mover,Early Mover,127.805376105757,258.593888806962,1699.64362678643,257,4402,1072,3330
14,14,2,sequential,Sequential,126.264856904642,250.372348108614,1631.85285302282,265,4487,1097,3390
14,14,2,coordinated,Coordinated,132.30008846723,218.610107367736,1518.59918265148,291,4653,1216,3437
14,14,2,delayed_coordination,Delayed Coordination,126.173533737881,239.55513698814,1625.44166405518,276,4494,1117,3377
14,14,4,baseline,Baseline,123.875449154238,359.58021065883,2555.11600260768,87,1738,486,1252
14,14,4,early_mover,Early Mover,120.724760998912,255.727853800537,1805.59777208237,219,3732,1138,2594
14,14,4,sequential,Sequential,117.559176377306,254.048609814001,1777.74349913543,202,3657,1129,2528
14,14,4,coordinated,Coordinated,121.595032099686,239.966326459186,1678.73349408287,248,3869,1168,2701
14,14,4,delayed_coordination,Delayed Coordination,114.565827971312,282.036754452373,1855.20618800299,191,3542,1097,2445
14,14,8,baseline,Baseline,123.566623592819,357.003640246519,2556.02203890755,79,1672,447,1225
14,14,8,early_mover,Early Mover,117.953013519052,258.159955601023,1831.39412714402,233,3601,1117,2484
14,14,8,sequential,Sequential,113.432068053311,261.215536927591,1796.58849140048,230,3525,1045,2480
14,14,8,coordinated,Coordinated,111.04268254189,265.054449373732,1870.20223609992,216,3328,1048,2280
14,14,8,delayed_coordination,Delayed Coordination,114.779382862491,254.858506819752,1806.33735034873,227,3552,1129,2423
15,15,2,baseline,Baseline,124.17218066227,370.562819118866,2577.53840628728,99,1911,557,1354
15,15,2,early_mover,Early Mover,125.27675347833,229.117876935394,1775.68743860114,249,4005,900,3105
15,15,2,sequential,Sequential,123.575885948776,217.884690631112,1695.9474553803,265,4183,1022,3161
15,15,2,coordinated,Coordinated,124.961679585071,237.127585513445,1737.45767392795,262,4155,1114,3041
15,15,2,delayed_coordination,Delayed Coordination,125.381166325281,212.045210457325,1705.52904539621,250,4152,934,3218
15,15,4,baseline,Baseline,123.695300625095,369.101920317739,2565.16332384631,99,1896,513,1383
15,15,4,early_mover,Early Mover,120.776963739994,253.012198389068,1868.90036909945,223,3856,1058,2798
15,15,4,sequential,Sequential,119.394404160417,244.167126160611,1793.08643045997,251,3973,1127,2846
15,15,4,coordinated,Coordinated,120.671890069632,235.089836208596,1727.56532346342,238,4100,1117,2983
15,15,4,delayed_coordination,Delayed Coordination,119.82562739298,233.862223462918,1780.43505083674,238,3952,1135,2817
15,15,8,baseline,Baseline,122.999535673309,365.792595088048,2612.61932824521,87,1804,480,1324
15,15,8,early_mover,Early Mover,113.475235709964,280.056192443376,2035.07649593705,205,3340,1106,2234
15,15,8,sequential,Sequential,110.077439242188,271.047321988722,1975.18315814143,190,3323,1174,2149
15,15,8,coordinated,Coordinated,110.901446423568,260.001942555588,1931.20062920517,233,3500,1136,2364
15,15,8,delayed_coordination,Delayed Coordination,110.368237914509,262.922220310111,1959.93435897065,201,3423,1122,2301
16,16,2,baseline,Baseline,127.059315270299,329.812386092474,2344.31932862186,131,2494,638,1856
16,16,2,early_mover,Early Mover,128.718167536622,225.12919172471,1677.73088537143,237,4291,1214,3077
16,16,2,sequential,Sequential,125.933860969627,209.26766725319,1651.25703920656,247,4306,1192,3114
16,16,2,coordinated,Coordinated,121.157543619299,229.447335568559,1681.22501171988,251,4126,1213,2913
16,16,2,delayed_coordination,Delayed Coordination,130.787036062564,203.041389728799,1557.15162904632,278,4585,1213,3372
16,16,4,baseline,Baseline,124.373982222118,349.242642682057,2409.87022510275,117,2295,548,1747
16,16,4,early_mover,Early Mover,120.612719385895,265.159154081374,1862.64893338528,210,3645,1190,2455
16,16,4,sequential,Sequential,120.083274614578,245.303050847697,1802.55775446332,222,3774,1227,2547
16,16,4,coordinated,Coordinated,115.207392595186,250.575065213304,1854.92754518827,234,3742,1154,2588
16,16,4,delayed_coordination,Delayed Coordination,121.123040482823,244.903789352344,1787.51282176038,232,3788,1224,2564
