replication,seed,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
30,30,delayed_coordination,Delayed Coordination,121.368591433473,241.958278976926,1732.64972213599,236,4022,1171,2851
31,31,baseline,Baseline,123.758900905518,383.774031746938,2588.60387813359,93,1801,434,1367
31,31,early_mover,Early Mover,128.125673158697,275.094887933357,1696.79425533014,285,4420,1028,3392
31,31,sequential,Sequential,123.412772301216,263.640616369215,1665.08832988836,278,4436,1077,3359
31,31,coordinated,Coordinated,122.960789650408,266.249974032033,1673.88390830761,286,4621,1141,3480
31,31,delayed_coordination,Delayed Coordination,124.94669834021,256.996811148948,1641.12700268894,279,4411,1132,3279
32,32,baseline,Baseline,123.918006068336,359.156379924508,2469.56518852925,106,2301,475,1826
32,32,early_mover,Early Mover,121.403012633456,267.796400823115,1711.10336178357,271,4330,1098,3232
32,32,sequential,Sequential,120.686054560295,258.315472912402,1644.09993733405,285,4416,1186,3230
32,32,coordinated,Coordinated,114.830872553886,278.02579630049,1759.1098035002,226,4068,1189,2879
32,32,delayed_coordination,Delayed Coordination,121.242349522779,255.547368523813,1638.43348358277,262,4402,1206,3196
33,33,baseline,Baseline,124.189427074348,357.401105600908,2517.63038189174,104,2092,607,1485
33,33,early_mover,Early Mover,119.214875188275,260.334712654563,1785.3706922904,218,3983,1134,2849
33,33,sequential,Sequential,120.490979060846,249.118615986281,1667.50857968144,282,4295,1192,3103
33,33,coordinated,Coordinated,115.740411258082,254.819287164821,1793.07348934572,252,4220,1152,3068
33,33,delayed_coordination,Delayed Coordination,118.818173063701,250.232496948461,1715.05330712472,255,4144,1157,2987
34,34,baseline,Baseline,126.037768596746,381.451362974249,2507.78705760914,112,2224,648,1576
34,34,early_mover,Early Mover,129.640703242244,245.420724218592,1694.25929063948,269,4716,1123,3593
34,34,sequential,Sequential,128.955740538696,248.502981995967,1624.44980629283,281,4782,1239,3543
34,34,coordinated,Coordinated,131.569368736889,224.294586238702,1607.17909166184,280,4778,1296,3482
