replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
59,59,coordinated,Coordinated,0.418603218255839,-128.313646523312,-787.186051194888,149,1895
59,59,delayed_coordination,Delayed Coordination,-6.07299264397919,-137.231173923686,-785.07185969627,145,1823
60,60,baseline,Baseline,0,0,0,0,0
60,60,early_mover,Early Mover,-2.13790320339294,-120.762527891699,-808.670643172309,162,2220
60,60,sequential,Sequential,-4.09610075364988,-134.247137673145,-841.39133577273,165,2146
60,60,coordinated,Coordinated,-12.5808395280251,-96.9622535260082,-692.783496098163,112,1494
60,60,delayed_coordination,Delayed Coordination,-7.42383865663712,-120.455006792683,-802.203591915096,150,2151
61,61,baseline,Baseline,0,0,0,0,0
61,61,early_mover,Early Mover,-2.49044160209172,-111.240523277412,-766.576825354606,156,2199
61,61,sequential,Sequential,-1.31079846036133,-130.000492636429,-835.774922536932,165,2304
61,61,coordinated,Coordinated,-5.03783850058088,-125.190970451105,-760.204763250559,146,2077
61,61,delayed_coordination,Delayed Coordination,-3.32979301322209,-112.128187271543,-804.643507413892,151,2234
62,62,baseline,Baseline,0,0,0,0,0
62,62,early_mover,Early Mover,-3.91094450945228,-91.4676400239415,-677.159091414638,116,1804
62,62,sequential,Sequential,-7.24605489757859,-93.6508793212722,-702.325690932036,122,1832
62,62,coordinated,Coordinated,-10.6510512018842,-61.9261904789885,-617.232884778976,132,1622
62,62,delayed_coordination,Delayed Coordination,-7.91338129039545,-95.7726806960494,-669.425812726079,121,1776
63,63,baseline,Baseline,0,0,0,0,0
63,63,early_mover,Early Mover,-6.53574841664444,-119.352759942824,-727.440318626872,161,2136
63,63,sequential,Sequential,-7.56997622715494,-132.406426578209,-796.593055459222,167,2149
63,63,coordinated,Coordinated,-6.79802563369626,-129.878842387559,-733.18970726807,161,2269
63,63,delayed_coordination,Delayed Coordination,-5.50115856988219,-136.319063440345,-849.381820571622,188,2340
64,64,baseline,Baseline,0,0,0,0,0
64,64,early_mover,Early Mover,-6.41549318733425,-103.974308821198,-577.310701350395,109,1307
64,64,sequential,Sequential,-11.5349822290928,-103.600921978243,-586.321972553369,80,1095
64,64,coordinated,Coordinated,-14.2194327560797,-94.5460918451523,-520.855115792448,67,967
64,64,delayed_coordination,Delayed Coordination,-12.2467614186967,-110.924376755857,-575.243606289675,78,1141
65,65,baseline,Baseline,0,0,0,0,0
65,65,early_mover,Early Mover,-0.769608254485803,-150.100064925668,-859.941423729569,165,2311
65,65,sequential,Sequential,-6.78768035442414,-140.771431120085,-891.102441118921,133,2070
65,65,coordinated,Coordinated,-10.0402189343826,-130.000141568218,-800.505644304409,116,1901
65,65,delayed_coordination,Delayed Coordination,-1.65809992715967,-166.034449449321,-962.327090910815,166,2296
66,66,baseline,Baseline,0,0,0,0,0
