replication,seed,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
27,27,coordinated,delayed_coordination,-0.456432386780065,17.3313420307693,44.6360002901299,-392
28,28,early_mover,sequential,-1.47467001467041,7.79170870150364,124.683269667238,-171
28,28,early_mover,coordinated,3.40208305714785,1.11576904095367,65.6041261721455,122
28,28,early_mover,delayed_coordination,0.783499728360596,10.1898191636496,99.0309920866487,-122
28,28,sequential,coordinated,4.87675307181826,-6.67593966054997,-59.0791434950925,293
28,28,sequential,delayed_coordination,2.258169743031,2.39811046214601,-25.6522775805893,49
28,28,coordinated,delayed_coordination,-2.61858332878725,9.07405012269598,33.4268659145032,-244
29,29,early_mover,sequential,1.92089117190001,19.0889931342245,78.513486151759,-22
29,29,early_mover,coordinated,5.6482524644985,29.7317269170988,40.1333685802306,62
29,29,early_mover,delayed_coordination,1.45882405589535,24.2562235667269,63.5585063540611,-88
29,29,sequential,coordinated,3.72736129259849,10.6427337828743,-38.3801175715284,84
29,29,sequential,delayed_coordination,-0.462067116004661,5.16723043250238,-14.9549797976979,-66
29,29,coordinated,delayed_coordination,-4.18942840860315,-5.47550335037192,23.4251377738306,-150
30,30,early_mover,sequential,0.926926942905936,18.4359249766807,86.2880707231454,-113
30,30,early_mover,coordinated,-0.78546817933082,22.4604355662517,125.078607762354,-375
30,30,early_mover,delayed_coordination,0.638312378043622,15.2870121443119,83.81415815439,-46
30,30,sequential,coordinated,-1.71239512223676,4.02451058957107,38.7905370392082,-262
30,30,sequential,delayed_coordination,-0.288614564862314,-3.14891283236872,-2.4739125687554,67
30,30,coordinated,delayed_coordination,1.42378055737444,-7.17342342193979,-41.2644496079636,329
31,31,early_mover,sequential,4.71290085748041,11.4542715641418,31.7059254417768,-16
31,31,early_mover,coordinated,5.16488350828921,8.84491390132422,22.9103470225307,-201
31,31,early_mover,delayed_coordination,3.17897481848637,18.0980767844096,55.6672526412021,9
31,31,sequential,coordinated,0.451982650808802,-2.60935766281756,-8.79557841924611,-185
31,31,sequential,delayed_coordination,-1.53392603899404,6.64380522026778,23.9613271994253,25
31,31,coordinated,delayed_coordination,-1.98590868980284,9.25316288308534,32.7569056186715,210
32,32,early_mover,sequential,0.716958073160825,9.48092791071264,67.00342444952,-86
32,32,early_mover,coordinated,6.57214007956986,-10.2293954773756,-48.0064417166277,262
32,32,early_mover,delayed_coordination,0.160663110677291,12.2490322993016,72.6698782007975,-72
32,32,sequential,coordinated,5.85518200640904,-19.7103233880882,-115.009866166148,348
32,32,sequential,delayed_coordination,-0.556294962483534,2.76810438858899,5.66645375127746,14
32,32,coordinated,delayed_coordination,-6.41147696889257,22.4784277766772,120.676319917425,-334
33,33,early_mover,sequential,-1.27610387257113,11.2160966682822,117.86211260896,-312
33,33,early_mover,coordinated,3.47446393019216,5.51542548974172,-7.70279705531379,-237
33,33,early_mover,delayed_coordination,0.396702124573395,10.1022157061018,70.3173851656866,-161
33,33,sequential,coordinated,4.75056780276329,-5.70067117854049,-125.564909664274,75
33,33,sequential,delayed_coordination,1.67280599714452,-1.11388096218036,-47.5447274432738,151
33,33,coordinated,delayed_coordination,-3.07776180561876,4.58679021636013,78.0201822210004,76
34,34,early_mover,sequential,0.684962703548024,-3.08225777737573,69.8094843466477,-66
34,34,early_mover,coordinated,-1.92866549464563,21.1261379798892,87.0801989776419,-62
34,34,early_mover,delayed_coordination,1.73952120747798,-5.14512841361679,50.730168042739,-48
34,34,sequential,coordinated,-2.61362819819365,24.2083957572649,17.2707146309942,4
34,34,sequential,delayed_coordination,1.05455850392995,-2.06287063624106,-19.0793163039086,18
34,34,coordinated,delayed_coordination,3.66818670212361,-26.271266393506,-36.3500309349029,14
35,35,early_mover,sequential,2.47591190702261,5.83718325053968,66.0714988948414,-131
35,35,early_mover,coordinated,1.55410946129774,-1.56204780829316,92.049735064056,-240
35,35,early_mover,delayed_coordination,1.54833421557286,2.09035187655564,89.5192085324136,-160
35,35,sequential,coordinated,-0.921802445724865,-7.39923105883284,25.9782361692146,-109
