replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
14,14,0.5,coordinated,Coordinated,118.727963490732,250.652949553469,1683.37030662058,267,4635,1709,2926
14,14,0.5,delayed_coordination,Delayed Coordination,119.788832255128,246.716764243454,1669.8131502484,257,4651,1710,2941
14,14,0.75,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,0.75,early_mover,Early Mover,121.58233193143,234.317720443892,1551.63614738292,204,4542,1280,3262
14,14,0.75,sequential,Sequential,118.769558885944,231.75486793979,1478.64981172382,233,4721,1324,3397
14,14,0.75,coordinated,Coordinated,118.750494198541,218.478505291484,1483.88564868576,236,4826,1261,3565
14,14,0.75,delayed_coordination,Delayed Coordination,118.253024100449,229.437734881245,1466.8751997395,225,4636,1276,3360
15,15,0.25,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,0.25,early_mover,Early Mover,119.244344082784,335.665321737499,2232.31289159461,137,3098,1407,1691
15,15,0.25,sequential,Sequential,118.338387824153,322.028914315733,2148.19455578827,169,3330,1443,1887
15,15,0.25,coordinated,Coordinated,116.518810284177,324.266321079782,2194.98391304023,156,3300,1370,1930
15,15,0.25,delayed_coordination,Delayed Coordination,116.945325830347,322.930783872487,2181.14440040665,147,3181,1419,1762
15,15,0.5,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,0.5,early_mover,Early Mover,124.986036867368,260.890491487748,1741.3520729296,257,4803,1761,3042
15,15,0.5,sequential,Sequential,125.539838155139,241.300260404474,1663.45808865912,261,4921,1833,3088
15,15,0.5,coordinated,Coordinated,123.918066886496,244.332661379385,1688.74344208301,266,4856,1812,3044
15,15,0.5,delayed_coordination,Delayed Coordination,124.178653969066,248.21847912164,1678.79060625362,255,4894,1826,3068
15,15,0.75,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,0.75,early_mover,Early Mover,132.593670144598,183.322861596418,1423.30733433158,266,5291,1236,4055
15,15,0.75,sequential,Sequential,115.888940519582,180.622448474177,1459.07281585509,226,4841,1267,3574
15,15,0.75,coordinated,Coordinated,107.916548814457,209.959433082451,1649.14492712384,207,4282,1383,2899
15,15,0.75,delayed_coordination,Delayed Coordination,119.587596414426,177.239678796151,1402.5706389669,238,5020,1304,3716
16,16,0.25,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
16,16,0.25,early_mover,Early Mover,115.246807287649,297.777682316557,2079.34795491382,144,3273,1322,1951
16,16,0.25,sequential,Sequential,113.939156849425,295.626550763287,2081.50230090779,125,3138,1302,1836
16,16,0.25,coordinated,Coordinated,114.566733910028,291.81798888293,2064.92309605876,147,3290,1324,1966
16,16,0.25,delayed_coordination,Delayed Coordination,113.717605115569,294.197474117471,2068.27823667939,144,3267,1332,1935
16,16,0.5,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
16,16,0.5,early_mover,Early Mover,128.909792886267,236.298008719363,1566.49679295721,276,5341,1804,3537
16,16,0.5,sequential,Sequential,127.529707746288,230.998930928703,1506.19177362894,290,5398,1852,3546
16,16,0.5,coordinated,Coordinated,119.075854066468,238.209238637078,1606.75443004238,234,4722,1672,3050
16,16,0.5,delayed_coordination,Delayed Coordination,129.515463849462,223.8162877999,1474.9282603893,301,5492,1800,3692
16,16,0.75,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
16,16,0.75,early_mover,Early Mover,137.730950035428,185.907141358285,1259.77701644113,298,5655,1074,4581
16,16,0.75,sequential,Sequential,137.429814186496,175.464270924583,1175.12875846752,310,5787,1149,4638
16,16,0.75,coordinated,Coordinated,131.29094617345,179.361017562183,1245.42798089204,292,5472,1306,4166
16,16,0.75,delayed_coordination,Delayed Coordination,135.482788667981,183.219580695044,1212.93896016676,292,5647,1127,4520
17,17,0.25,baseline,Baseline,125.845512007681,355.530114890758,2333.55948574667,106,2738,1041,1697
17,17,0.25,early_mover,Early Mover,113.72655061845,335.585428269726,2203.83530717762,143,3101,1355,1746
