replication,seed,policy_penalty,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
10,10,0.5,sequential,delayed_coordination,-0.311724713940379,-2.85283143412119,0.659957513009203,-8
10,10,0.5,coordinated,delayed_coordination,-0.371844736389733,2.58953480090378,27.4492015429291,42
10,10,0.75,early_mover,sequential,11.390135014943,6.45452684648251,29.7392104179946,306
10,10,0.75,early_mover,coordinated,21.2815121027216,7.08305867611247,-112.524318209306,805
10,10,0.75,early_mover,delayed_coordination,7.23008420523469,5.59470073341703,73.7315251533159,153
10,10,0.75,sequential,coordinated,9.89137708777865,0.628531829629964,-142.263528627301,499
10,10,0.75,sequential,delayed_coordination,-4.1600508097083,-0.859826113065481,43.9923147353213,-153
10,10,0.75,coordinated,delayed_coordination,-14.0514278974869,-1.48835794269544,186.255843362622,-652
11,11,0.25,early_mover,sequential,1.86025612451041,15.4418944727893,38.9793503338906,-23
11,11,0.25,early_mover,coordinated,5.90922021041601,-12.1493428086171,-13.4171473023448,146
11,11,0.25,early_mover,delayed_coordination,1.44792206553784,6.94719690422949,45.2895598805608,-58
11,11,0.25,sequential,coordinated,4.0489640859056,-27.5912372814064,-52.3964976362354,169
11,11,0.25,sequential,delayed_coordination,-0.412334058972576,-8.49469756855984,6.31020954667019,-35
11,11,0.25,coordinated,delayed_coordination,-4.46129814487817,19.0965397128466,58.7067071829056,-204
11,11,0.5,early_mover,sequential,-1.10784361573587,7.96119963066718,148.356754335811,-263
11,11,0.5,early_mover,coordinated,2.65402223206431,7.4786669941646,75.3906492344065,-133
11,11,0.5,early_mover,delayed_coordination,-0.281187752673304,12.9845016086092,114.595151538954,-84
11,11,0.5,sequential,coordinated,3.76186584780018,-0.482532636502583,-72.9661051014043,130
11,11,0.5,sequential,delayed_coordination,0.82665586306257,5.02330197794197,-33.7616027968572,179
