replication,seed,cost_regime,eL,eG,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
16,16,high,0.2,0.4,sequential,-18.2145515257157,-50.3247422169963,-346.126097194073,980
16,16,high,0.2,0.4,coordinated,-20.1013951265757,-38.0414118516062,-312.974503008106,1011
16,16,high,0.2,0.4,delayed_coordination,-18.3229321504038,-44.3467512050147,-355.260075094287,975
17,17,low,0.05,0.1,baseline,0,0,0,0
17,17,low,0.05,0.1,early_mover,2.36348298926004,-111.934259236618,-708.072781010304,2384
17,17,low,0.05,0.1,sequential,-0.441340431822795,-116.125823639143,-742.157751188849,2257
17,17,low,0.05,0.1,coordinated,6.38622470552903,-120.403114717876,-781.042182960213,2551
17,17,low,0.05,0.1,delayed_coordination,1.39958232670372,-111.251534673441,-735.646531389138,2099
17,17,baseline,0.1,0.2,baseline,0,0,0,0
17,17,baseline,0.1,0.2,early_mover,-2.24101669586672,-120.963167396846,-754.337308937538,2246
17,17,baseline,0.1,0.2,sequential,-2.5340681867971,-124.331001085585,-812.230852213328,2280
17,17,baseline,0.1,0.2,coordinated,-9.61024638062784,-125.113959914887,-689.714361565241,2002
17,17,baseline,0.1,0.2,delayed_coordination,0.706552092519644,-129.316582435015,-823.01730304248,2356
17,17,high,0.2,0.4,baseline,0,0,0,0
17,17,high,0.2,0.4,early_mover,-15.4048199159324,-55.7375066907744,-322.825616017004,952
17,17,high,0.2,0.4,sequential,-20.2461192782019,-57.2219420663552,-324.05143581686,908
17,17,high,0.2,0.4,coordinated,-19.6045804142349,-70.6538347044758,-320.210738314669,901
17,17,high,0.2,0.4,delayed_coordination,-18.1401421269914,-61.9750736958479,-372.565701255015,1029
18,18,low,0.05,0.1,baseline,0,0,0,0
18,18,low,0.05,0.1,early_mover,2.0630250354032,-94.8220797120011,-692.601040436209,2307
18,18,low,0.05,0.1,sequential,0.353446499849383,-97.7647456538722,-720.019102139916,2143
18,18,low,0.05,0.1,coordinated,-4.82309796616374,-76.3156525322837,-625.178343297596,1904
18,18,low,0.05,0.1,delayed_coordination,2.01941364526553,-100.962072425938,-741.945778151533,2283
18,18,baseline,0.1,0.2,baseline,0,0,0,0
18,18,baseline,0.1,0.2,early_mover,-10.6128310509641,-56.4193565539755,-525.903862753731,1736
18,18,baseline,0.1,0.2,sequential,-14.7813794581059,-58.866605208132,-540.805453269208,1467
18,18,baseline,0.1,0.2,coordinated,-12.2388294889369,-79.5769346685371,-588.608824831986,1687
18,18,baseline,0.1,0.2,delayed_coordination,-13.1421102409452,-71.5948566221169,-593.443383715514,1597
18,18,high,0.2,0.4,baseline,0,0,0,0
18,18,high,0.2,0.4,early_mover,-23.0616554244262,-42.4273759218177,-189.325902695273,454
18,18,high,0.2,0.4,sequential,-25.5957085495875,-44.8667986557539,-221.881315381257,476
18,18,high,0.2,0.4,coordinated,-22.1208827093699,-74.1897663686526,-309.59609671154,945
18,18,high,0.2,0.4,delayed_coordination,-26.6959531685113,-36.6455596286702,-213.382738039537,450
19,19,low,0.05,0.1,baseline,0,0,0,0
19,19,low,0.05,0.1,early_mover,-0.570901088446561,-89.1060288239854,-651.478868355578,1987
19,19,low,0.05,0.1,sequential,-3.99485522797417,-88.8094485925425,-670.823510306376,1984
19,19,low,0.05,0.1,coordinated,-4.71579328661088,-85.4623161411351,-647.675742536441,1961
19,19,low,0.05,0.1,delayed_coordination,-0.819150560224841,-97.436089748176,-714.39922602035,2052
19,19,baseline,0.1,0.2,baseline,0,0,0,0
19,19,baseline,0.1,0.2,early_mover,-3.07303673491832,-106.994599451573,-565.805564472956,1939
19,19,baseline,0.1,0.2,sequential,-7.43585728213442,-107.827399484529,-594.711212223352,1951
19,19,baseline,0.1,0.2,coordinated,-9.15730708929084,-107.980220589796,-537.94615011946,1678
19,19,baseline,0.1,0.2,delayed_coordination,-6.44166115978854,-111.734683669648,-596.94417553138,1982
19,19,high,0.2,0.4,baseline,0,0,0,0
19,19,high,0.2,0.4,early_mover,-16.6501715735254,-46.366191433002,-259.668403474247,929
19,19,high,0.2,0.4,sequential,-20.178015480232,-47.8584724627153,-286.074208116518,941
19,19,high,0.2,0.4,coordinated,-19.0504637946834,-55.1191642860023,-304.149480260605,1169
19,19,high,0.2,0.4,delayed_coordination,-18.0273660436994,-53.5210242710869,-337.806017870068,1097
20,20,low,0.05,0.1,baseline,0,0,0,0
20,20,low,0.05,0.1,early_mover,-1.19444579618158,-108.26079616853,-696.885895822538,2061
20,20,low,0.05,0.1,sequential,-4.4063613797268,-113.741844511201,-712.371561148142,1993
20,20,low,0.05,0.1,coordinated,-9.09910629956991,-110.13311009163,-603.942414134876,1740
20,20,low,0.05,0.1,delayed_coordination,-1.6732910081825,-110.105126984067,-721.095015649361,2016
20,20,baseline,0.1,0.2,baseline,0,0,0,0
20,20,baseline,0.1,0.2,early_mover,-11.4449626259986,-57.3421459079762,-502.34841446687,1409
20,20,baseline,0.1,0.2,sequential,-9.98775781122619,-67.441334849934,-567.913221222715,1570
20,20,baseline,0.1,0.2,coordinated,-15.5682804660163,-63.212278133673,-433.143556371465,1326
20,20,baseline,0.1,0.2,delayed_coordination,-15.6924466372812,-57.707123115264,-499.895729700294,1410
20,20,high,0.2,0.4,baseline,0,0,0,0
20,20,high,0.2,0.4,early_mover,-19.6272969909088,-40.9961550486086,-269.041684297878,838
20,20,high,0.2,0.4,sequential,-21.2637135508453,-44.9369019288752,-306.092382635828,919
20,20,high,0.2,0.4,coordinated,-22.1697629369418,-44.0901079909938,-294.277055089296,910
20,20,high,0.2,0.4,delayed_coordination,-21.540517718567,-44.6760361115558,-298.254481697628,928
21,21,low,0.05,0.1,baseline,0,0,0,0
21,21,low,0.05,0.1,early_mover,6.94448308618834,-136.423044824101,-721.361307465687,2487
21,21,low,0.05,0.1,sequential,5.00840885758942,-150.965453453833,-778.106833549356,2512
21,21,low,0.05,0.1,coordinated,5.47573609242912,-156.998122093885,-772.306644453335,2468
21,21,low,0.05,0.1,delayed_coordination,5.07531097329266,-150.334734505712,-780.376887172019,2483
21,21,baseline,0.1,0.2,baseline,0,0,0,0
21,21,baseline,0.1,0.2,early_mover,-5.12805185151737,-111.532904214537,-566.522278329331,2043
