replication,cost_regime,lowest_risk_scenario,lowest_final_risk
91,low,early_mover,217.748218953303
91,baseline,delayed_coordination,249.404928645763
91,high,sequential,378.137413552656
92,low,sequential,163.793193653943
92,baseline,coordinated,216.815629873726
92,high,sequential,321.88962113405
93,low,delayed_coordination,174.723030639878
93,baseline,sequential,235.762483478046
93,high,delayed_coordination,350.048490472386
94,low,sequential,196.986231689213
94,baseline,sequential,247.282383077599
94,high,sequential,380.018652510066
95,low,sequential,191.816755145641
95,baseline,delayed_coordination,239.113780902396
95,high,coordinated,358.55535864247
96,low,sequential,184.349577842082
96,baseline,delayed_coordination,213.682888569348
96,high,coordinated,399.009397863285
97,low,coordinated,185.297780991805
97,baseline,early_mover,270.406640153378
97,high,delayed_coordination,372.333154846147
98,low,coordinated,160.886598366637
98,baseline,delayed_coordination,228.257267922251
98,high,sequential,354.099515028034
99,low,delayed_coordination,177.330628564299
99,baseline,sequential,257.572706803131
99,high,sequential,362.301590244684
100,low,sequential,199.272621620538
100,baseline,sequential,258.595960066554
100,high,early_mover,343.837898451168
