replication,seed,recoveryHorizon,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
36,36,7,early_mover,Early Mover,116.297685764633,253.889886579063,1703.49224520862,247,4656,1616,3040
36,36,7,sequential,Sequential,115.562509397727,247.799101734876,1637.18119143868,252,4700,1712,2988
36,36,7,coordinated,Coordinated,113.031753210231,244.627488310936,1655.08396315666,260,4754,1673,3081
36,36,7,delayed_coordination,Delayed Coordination,116.169139254691,243.733712079119,1640.93323830809,249,4677,1657,3020
37,37,3,baseline,Baseline,128.117118094329,342.772043709189,2315.95365784671,108,2722,1089,1633
37,37,3,early_mover,Early Mover,127.340838008429,233.066233654233,1603.11753318288,280,5081,1764,3317
37,37,3,sequential,Sequential,124.322014896909,217.708104782813,1562.4503813793,270,5083,1845,3238
37,37,3,coordinated,Coordinated,118.583015464632,233.95252936771,1681.53419315999,274,4886,1734,3152
37,37,3,delayed_coordination,Delayed Coordination,125.732579029591,213.478255383126,1540.59234472848,292,5150,1798,3352
37,37,5,baseline,Baseline,130.449952992622,330.123918865006,2271.67400303849,122,2899,1155,1744
37,37,5,early_mover,Early Mover,125.149780003311,239.847440683677,1677.2646083208,268,4794,1653,3141
37,37,5,sequential,Sequential,119.624877440419,223.176107287005,1673.73824834949,228,4581,1701,2880
37,37,5,coordinated,Coordinated,124.647132823047,213.886674405249,1587.26855844414,288,5084,1781,3303
37,37,5,delayed_coordination,Delayed Coordination,122.611505597429,228.341937220301,1652.27796046814,257,4760,1703,3057
37,37,7,baseline,Baseline,129.406326033986,330.753960613909,2282.98411606771,124,2822,1109,1713
37,37,7,early_mover,Early Mover,119.599923314008,237.791850821449,1786.64523086318,233,4445,1579,2866
37,37,7,sequential,Sequential,121.088293496471,236.0707718877,1721.93834007371,259,4549,1628,2921
37,37,7,coordinated,Coordinated,118.248197781336,246.574867910518,1748.65351382421,255,4648,1674,2974
37,37,7,delayed_coordination,Delayed Coordination,120.886259418061,232.027936459704,1666.88760218383,268,4600,1639,2961
38,38,3,baseline,Baseline,127.625195071507,361.241324252423,2363.20171177245,102,2609,1113,1496
38,38,3,early_mover,Early Mover,125.195995963085,269.384222194521,1696.82240104812,242,4761,1768,2993
38,38,3,sequential,Sequential,120.101356431176,269.927620591698,1668.73910324356,225,4525,1748,2777
38,38,3,coordinated,Coordinated,126.410324169743,249.074262515556,1555.67635590311,258,4733,1847,2886
38,38,3,delayed_coordination,Delayed Coordination,126.348322924324,260.291264697766,1599.1761649171,251,4791,1803,2988
38,38,5,baseline,Baseline,127.354460810758,361.863195126141,2365.44407226038,88,2493,1072,1421
38,38,5,early_mover,Early Mover,126.067616532097,258.094230324042,1660.61852658351,259,4774,1780,2994
38,38,5,sequential,Sequential,124.362939769209,247.015895795417,1593.59531960048,257,4532,1808,2724
38,38,5,coordinated,Coordinated,124.525726603305,252.629915747943,1632.27122754666,247,4512,1773,2739
38,38,5,delayed_coordination,Delayed Coordination,124.403963952089,251.509056448227,1607.95848220258,240,4601,1810,2791
38,38,7,baseline,Baseline,127.453633095941,362.582247893563,2358.42059825908,110,2671,1139,1532
38,38,7,early_mover,Early Mover,128.936602717813,249.915657926482,1616.84242121817,268,4892,1693,3199
38,38,7,sequential,Sequential,129.261675998754,234.15136842616,1525.78789959305,268,4895,1717,3178
38,38,7,coordinated,Coordinated,126.177153552483,244.123608347765,1573.30369850938,278,4775,1810,2965
38,38,7,delayed_coordination,Delayed Coordination,127.856720732919,239.140768201787,1553.76785217891,275,4808,1735,3073
39,39,3,baseline,Baseline,127.425063640191,322.659322961349,2222.98427624427,138,3286,1064,2222
39,39,3,early_mover,Early Mover,120.27325538699,209.999450653028,1573.58979092221,269,5341,1718,3623
39,39,3,sequential,Sequential,117.718468354694,213.522376889454,1557.96070086724,263,5274,1783,3491
39,39,3,coordinated,Coordinated,118.540229527251,209.871125170551,1543.91456011807,271,5396,1710,3686
39,39,3,delayed_coordination,Delayed Coordination,116.632717985569,205.396477237048,1559.30390933961,261,5187,1696,3491
39,39,5,baseline,Baseline,127.717956392784,321.380713298465,2224.40644689259,140,3294,1061,2233
39,39,5,early_mover,Early Mover,124.182376400706,198.624724137838,1533.76954729993,293,5569,1734,3835
39,39,5,sequential,Sequential,122.451032282542,192.206132692016,1494.35823023189,296,5520,1804,3716
39,39,5,coordinated,Coordinated,118.867560361249,206.029557572425,1527.95504189075,285,5348,1760,3588
39,39,5,delayed_coordination,Delayed Coordination,122.523555302361,188.533903235838,1495.97409772245,293,5509,1754,3755
39,39,7,baseline,Baseline,128.659100298733,316.619786830099,2181.80234834349,149,3313,1030,2283
39,39,7,early_mover,Early Mover,122.511087335949,205.643150088239,1532.50865374046,272,5432,1704,3728
39,39,7,sequential,Sequential,121.98499120669,190.144961013675,1451.38980371899,313,5480,1763,3717
39,39,7,coordinated,Coordinated,122.096958159889,200.377126918637,1485.17319340979,291,5260,1683,3577
39,39,7,delayed_coordination,Delayed Coordination,119.273171569953,202.682544324989,1503.43543435176,279,5203,1694,3509
40,40,3,baseline,Baseline,128.356441560276,330.43263782982,2366.42331704537,107,2715,1034,1681
40,40,3,early_mover,Early Mover,124.410072864263,242.282406656071,1654.93938835624,247,4696,1576,3120
40,40,3,sequential,Sequential,120.933786098745,233.456751553929,1634.76259318944,258,4718,1608,3110
40,40,3,coordinated,Coordinated,117.040390517676,247.223864707858,1709.3166486368,231,4414,1580,2834
40,40,3,delayed_coordination,Delayed Coordination,120.840407830861,242.871673893889,1633.29940732767,253,4732,1612,3120
40,40,5,baseline,Baseline,127.942406683784,328.919699526771,2369.19395657075,106,2675,1042,1633
