replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
16,16,7,sequential,delayed_coordination,-0.0731144378275559,-10.603839807652,5.51788670413362,184
16,16,7,coordinated,delayed_coordination,-2.00395086988004,0.0799184450934547,46.5940764636362,-162
17,17,3,early_mover,sequential,-0.526025810838476,9.82218679820531,88.8841414151693,-168
17,17,3,early_mover,coordinated,2.57918828077929,6.04354240678924,18.5038698079152,39
17,17,3,early_mover,delayed_coordination,1.60740825546394,-1.17150590891276,51.9782643644903,4
17,17,3,sequential,coordinated,3.10521409161777,-3.77864439141607,-70.3802716072541,207
17,17,3,sequential,delayed_coordination,2.13343406630241,-10.9936927071181,-36.905877050679,172
17,17,3,coordinated,delayed_coordination,-0.971780025315354,-7.21504831570201,33.4743945565751,-35
17,17,5,early_mover,sequential,0.293051490930381,3.36783368873969,57.8935432757901,-34
17,17,5,early_mover,coordinated,7.36922968476112,4.15079251804127,-64.6229473722965,244
17,17,5,early_mover,delayed_coordination,-2.94756878838636,8.35341503816969,68.6799941049424,-110
17,17,5,sequential,coordinated,7.07617819383074,0.782958829301577,-122.516490648087,278
17,17,5,sequential,delayed_coordination,-3.24062027931674,4.98558134942999,10.7864508291523,-76
17,17,5,coordinated,delayed_coordination,-10.3167984731475,4.20262252012841,133.302941477239,-354
17,17,7,early_mover,sequential,1.65703392200179,3.76964136429709,59.7837403489134,9
17,17,7,early_mover,coordinated,-0.543985503468264,11.2121875489792,91.9951557717991,-39
17,17,7,early_mover,delayed_coordination,7.15638508804071,-18.4649944165922,-25.1395118558428,361
17,17,7,sequential,coordinated,-2.20101942547005,7.44254618468207,32.2114154228857,-48
17,17,7,sequential,delayed_coordination,5.49935116603892,-22.2346357808893,-84.9232522047562,352
